"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__","no_IgA",75.6608342537247,-0.407131974763534,0.188976020332533,-2.15441077681243,0.0312079721806739,0.100225602964856
"g__[Eubacterium]","no_IgA",2.17537429717517,-0.0581128680932659,0.112442126629092,-0.51682469760609,0.605278537716004,0.987422221485336
"g__Allobaculum","no_IgA",2526.08042793865,-0.246070527934471,0.23066512135626,-1.06678689213016,0.286068078947065,0.645586070056214
"k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Clostridium","no_IgA",2.65152323171219,-0.256618108807325,0.118539954851849,-2.16482374342091,0.0304011857854515,0.0995489809053021
"g__Coprobacillus","no_IgA",4.29768353164113,0.32611838965085,0.102765639274691,3.17341858575064,0.00150655147695831,0.00762406353491021
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o___f___g__","no_IgA",1.15982546979343,-0.157277385797144,0.154399456426839,-1.01863950454818,0.308374142335044,0.677611602236216
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Caulobacteraceae_g__","no_IgA",6.90455354489752,-0.573026619675608,0.129701976655062,-4.41802534127564,9.96067446135959e-06,8.7549086055108e-05
"g__Mycoplana","no_IgA",1.06120571116253,-0.0694986820083317,0.159594802603399,-0.43546958218332,0.663221613290816,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__RF32_f___g__","no_IgA",2.05269575558914,-0.0392079822047594,0.113576134609524,-0.345213211732878,0.729934087077458,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f___g__","no_IgA",2.1007726989889,-0.0581951564622227,0.112716943742151,-0.51629466280907,0.605648623321954,0.987422221485336
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Bradyrhizobiaceae_g__","no_IgA",3.06334850187552,-0.0234041901146231,0.0928661016059108,-0.252020809637749,0.801024979073227,0.998644113602911
"g__Ochrobactrum","no_IgA",2.02139571881897,-0.00917451877190059,0.113843329176428,-0.0805889887292602,0.935768823442181,0.998644113602911
"g__Devosia","no_IgA",2.02380120660206,-0.0115070754061521,0.113831289970031,-0.101088860621554,0.919479920683279,0.998644113602911
