"","Variable","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"60","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__","no_IgA",2.03372086976979,-0.0179358057876883,0.114721601524156,-0.156342010130601,0.875763444155073,0.986212678190592
"61","f__Sphingomonadaceae","no_IgA",27.2121688340789,-0.365430890028439,0.0795722366937779,-4.59244210307605,4.38089069963722e-06,3.9914781930028e-05
"62","k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__","no_IgA",2.03128969534736,0.00197883358166511,0.114440328860284,0.0172914006921545,0.986204145832741,0.986212678190592
"63","f__Alcaligenaceae","no_IgA",182.850538655683,-0.312370296494171,0.227991640805077,-1.37009539205533,0.170657126063753,0.424057101128113
"64","f__Burkholderiaceae","no_IgA",3.09636921431003,0.0508043872211391,0.0923482149321615,0.550139353082891,0.582223796672845,0.986212678190592
"65","f__Comamonadaceae","no_IgA",24.0169216062543,-0.228956836107395,0.0609405248202999,-3.75705389447397,0.00017192548003802,0.000939859290874509
"66","f__Oxalobacteraceae","no_IgA",8.34680030173299,0.0581501372873028,0.0564410098386347,1.03028165962222,0.302877805975397,0.651018191796179
"67","f__Rhodocyclaceae","no_IgA",9.06230637305572,-0.179073005379633,0.0620654147807506,-2.88523014004205,0.00391127624488559,0.0159224076371192
"68","f__Desulfovibrionaceae","no_IgA",2667.45578738381,1.65290337635148,0.200130992754933,8.25910746555638,1.46765748524469e-16,6.01739568950324e-15
"69","f__Helicobacteraceae","no_IgA",1463.17781530282,0.195768538646737,0.211076332939858,0.9274774481823,0.353678695502473,0.72504132578007
"70","f__Enterobacteriaceae","no_IgA",273.641743035954,-0.629928296272633,0.156722429591897,-4.0193882771787,5.83494426844265e-05,0.000398721191676914
"71","f__Legionellaceae","no_IgA",3.07235227449713,-0.031788086687401,0.0941518732684347,-0.337625642314843,0.735645315986145,0.986212678190592
