"","OTU_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1544","270984","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",2.98110956748072,-2.24219946929293,0.271011897270808,-8.27343556453692,1.30153154071034e-16,3.40480651049826e-15
"1545","797021","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",1.655019529947,-2.76100601309345,0.542293859675672,-5.09134662661443,3.55529394700341e-07,2.42204400139607e-06
"1546","1105589","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",7.27313478211587,0.0551858001630568,0.385601551424145,0.143116125853848,0.886198469453509,0.918500473886839
"1547","197623","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",36.5961765426294,-1.08582636396828,0.376678339758628,-2.88263552574876,0.00394363451254797,0.0111650951134475
"1548","288521","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__","NASH",10.9601152671197,0.404957450565187,0.304846124532543,1.32839953660607,0.184046152472201,0.276069228708301
"1549","178775","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",0.562873476053617,-1.76434969448623,1.09562869350125,-1.61035367634265,0.107320667359585,0.177690421400427
"1550","312322","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",8.17141996720822,-1.73272713090333,0.333826271169368,-5.19050560291051,2.09723811133685e-07,1.47483196216591e-06
"1551","175706","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",18.9146425880962,-1.52547693445306,0.275547577601366,-5.5361652885222,3.09165816647524e-08,2.5594233428795e-07
"1552","4418165","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Enterobacter","s__gergoviae","NASH",3.20591182954538,4.85987582970386,1.20660607130024,4.02772366665357,5.63194812190055e-05,0.00023763187559503
"1553","233435","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",61.5479588653031,-2.11718631425813,0.340955938045002,-6.20955988154308,5.31332001736794e-10,5.88968015484514e-09
"1554","207749","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",24.1888964154405,-1.02471809393544,0.417936381521806,-2.45185185889822,0.0142123159712578,0.0336770095840674
"1555","1141335","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter","s__","NASH",802.311610455231,-0.373328346009447,0.300475110326186,-1.24246013456547,0.21406684037825,0.313900703155551
"1556","22352","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","NASH",1.51413607117963,0.734784002704483,0.514302164621297,1.42870097240508,0.153090198214109,0.238952242558538
"1557","263272","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__","NASH",1.42538634322798,0.217263921621988,0.659427063424643,0.329473771509555,0.741797615586078,0.803204702969031
