sample_id	NASH	HCC	obes	adenomas	T1d
10856.FVB.IgAK.Feces.16w.NC.1.30	False	False	False	False	False
10856.E25L.feces.49w.HFD.CD8kMup.2.3	True	True	False	False	False
10856.E41L.feces.20w.STAM.JH.1.1	True	True	False	False	True
10856.E36L.feces.50w.NC.CD8kCLM.1.23	True	False	False	True	False
10856.E47L.feces.20w.STAM.FVB.IgAk.4.12	True	True	False	False	True
10856.FVB.Feces.25w.NC.1.54	False	False	False	False	False
10856.E45L.feces.22w.STAM.FVB.JH.3.7	True	True	False	False	True
10856.E16L.feces.40w.HFD.CD8He.Mup.1.5	True	True	True	False	False
10856.B6.Ighel.MD4.Feces.21w.NC.2.46	False	False	False	False	False
10856.E47L.feces.26w.STAM.B6.IgAk.3.7	True	True	False	False	True
10856.E22L.feces.27w.HFD.MupHe.2.2	True	False	True	False	False
10856.B6.PIGRK.Feces.6w.NC.1.62	False	False	False	False	False
10856.E46L.feces.51w.HFD.RagkMup.3.9	True	True	True	False	False
10856.E41L.feces.20w.STAM.JH.5.5	True	True	False	False	True
10856.E5La.feces.27w.HFD.IgAMup.11	True	False	True	False	False
10856.E22L.feces.29w.HFD.IgAkMup.1.7	True	False	True	False	False
10856.E41L.feces.20w.STAM.JH.3.3	True	True	False	False	True
10856.E11L.feces.56w.NC.4.MupHe.6	True	False	False	True	False
10856.E36L.feces.50w.NC.CD8kMup.2.24	True	False	False	True	False
10856.E24L.feces.48w.HFD.IgAkMup.7.15	True	True	False	False	False
10856.E50L.feces.26w.HFD.RagHeMup.1.4	True	False	True	False	False
10856.E47L.feces.26w.STAM.B6.IgAk.1.5	True	True	False	False	True
10856.E16L.feces.42w.HFD.CD8k.Mup.1.3	True	True	False	False	False
10856.E51L.Col.Fe.47w.HFD.CD8kMup.4.11	True	True	True	False	False
10856.E5La.feces.27wAntibiotic.HFD.MupHe.7	True	False	True	False	False
10856.E41L.feces.19w.STAM.B6.B.TGFb.2.12.FVB	True	True	False	False	True
10856.E5La.feces.27wAntibiotic.HFD.MupHe.9	True	False	True	False	False
10856.E47L.feces.20w.STAM.FVB.IgAk.3.11	True	True	False	False	True
10856.BLANK4.2H	False	False	False	False	False
10856.E51L.Col.Fe.48w.HFD.IgAkMup.2.5	True	True	True	False	False
10856.E37Lb.feces.50w.HFD.CD8kMup.3.22	True	True	False	False	False
10856.FVB.TGFbRff.Feces.11w.NC.4.44	False	False	False	False	False
10856.B6.WT.Feces.6w.NC.5.8	False	False	False	False	False
10856.E23La.feces.51w.ctrl.HFD.MupHe.2.5	True	True	True	False	False
10856.Ex3.NoHFD.10.feces.MupHe.14	True	False	False	True	False
